course_id,course_name,category,skills,level,duration_hours,rating,instructor,description,enrolled_students,price,language,tags,prerequisites
36,"D3.js - Advanced Dashboards (Live Cohort, Coursera)",Data Visualization,d3.js advanced dashboards data visualization,Advanced,8,4.0,Ms. K. Verma,"Learn D3.js through a advanced dashboards focused course, covering key concepts in Data Visualization.",17114,1499,French,"quiz-included, trending, job-ready, in-demand",[16]
37,"Data Storytelling - Advanced Dashboards (Project-Based, Coursera)",Data Visualization,data storytelling advanced dashboards data visualization,Advanced,8,4.7,Prof. J. Mehta,"Learn Data Storytelling through a advanced dashboards focused course, covering key concepts in Data Visualization.",23392,999,Hindi,"industry-recognized, project-based","[537, 1744]"
38,"Feature Engineering - Advanced Techniques (Self-Paced, Udemy)",Machine Learning,feature engineering advanced techniques machine learning,Advanced,4,3.5,Prof. J. Mehta,"Learn Feature Engineering through a advanced techniques focused course, covering key concepts in Machine Learning.",2735,999,French,"certificate, quiz-included, trending",[1042]
39,"Go - Algorithms (Project-Based, Coursera)",Programming,go algorithms programming,Beginner,8,3.8,Ms. K. Verma,"Learn Go through a algorithms focused course, covering key concepts in Programming.",27955,1999,Hindi,"quiz-included, hands-on",[]
40,"Clustering - Introduction (Crash Course, Pluralsight)",Machine Learning,clustering introduction machine learning,Beginner,6,4.8,Mr. T. Singh,"Learn Clustering through a introduction focused course, covering key concepts in Machine Learning.",8218,2999,English,"industry-recognized, mentor-support, hands-on",[]
41,"Java - Data Structures (Project-Based, LinkedIn Learning)",Programming,java data structures programming,Intermediate,20,4.1,Mr. S. Gupta,"Learn Java through a data structures focused course, covering key concepts in Programming.",25086,499,English,"trending, in-demand","[412, 758]"
42,"Azure - Fundamentals (Crash Course, DataCamp)",Cloud & DevOps,azure fundamentals cloud & devops,Beginner,4,3.7,Mr. S. Gupta,"Learn Azure through a fundamentals focused course, covering key concepts in Cloud & DevOps.",8037,3999,French,"quiz-included, mentor-support, industry-recognized",[]
43,"NumPy - Industry Applications (Self-Paced, Pluralsight)",Data Science,numpy industry applications data science,Beginner,4,4.7,Prof. M. Khan,"Learn NumPy through a industry applications focused course, covering key concepts in Data Science.",31474,1999,French,"job-ready, hands-on",[]
44,"Excel Visualization - Intermediate Techniques (Project-Based, Pluralsight)",Data Visualization,excel visualization intermediate techniques data visualization,Beginner,15,4.7,Ms. P. Nair,"Learn Excel Visualization through a intermediate techniques focused course, covering key concepts in Data Visualization.",6707,2499,English + Hindi Subtitles,"certificate, mentor-support, project-based",[]
45,"Database Design - Real World Projects (Crash Course, edX)",Databases,database design real world projects databases,Beginner,4,4.5,Ms. P. Nair,"Learn Database Design through a real world projects focused course, covering key concepts in Databases.",31041,0,English + Hindi Subtitles,"quiz-included, hands-on, beginner-friendly, mentor-support",[]
46,"CI CD - Best Practices (Project-Based, Coursera)",Cloud & DevOps,ci cd best practices cloud & devops,Beginner,6,4.3,Ms. K. Verma,"Learn CI CD through a best practices focused course, covering key concepts in Cloud & DevOps.",34138,999,Hindi,"job-ready, hands-on, trending, project-based",[]
47,"AI Ethics - Fundamentals (Live Cohort, LinkedIn Learning)",AI Specialized,ai ethics fundamentals ai specialized,Beginner,8,4.8,Dr. N. Rao,"Learn AI Ethics through a fundamentals focused course, covering key concepts in AI Specialized.",24509,2999,Hindi,"beginner-friendly, in-demand, trending",[]
48,"Speech Recognition - Fundamentals (Project-Based, edX)",AI Specialized,speech recognition fundamentals ai specialized,Beginner,6,4.0,Prof. R. Iyer,"Learn Speech Recognition through a fundamentals focused course, covering key concepts in AI Specialized.",10791,0,Spanish,"project-based, mentor-support",[]
49,"Attention Mechanisms - Practical Applications (Project-Based, LinkedIn Learning)",Deep Learning,attention mechanisms practical applications deep learning,Advanced,12,4.9,Dr. N. Rao,"Learn Attention Mechanisms through a practical applications focused course, covering key concepts in Deep Learning.",40907,2499,English,"quiz-included, hands-on","[833, 1571]"
50,"Unsupervised Learning - Fundamentals (Self-Paced, LinkedIn Learning)",Machine Learning,unsupervised learning fundamentals machine learning,Beginner,20,3.6,Ms. K. Verma,"Learn Unsupervised Learning through a fundamentals focused course, covering key concepts in Machine Learning.",26866,0,French,"in-demand, trending, beginner-friendly",[]
51,"Database Optimization - Real World Projects (Self-Paced, DataCamp)",Databases,database optimization real world projects databases,Beginner,4,3.5,Mr. S. Gupta,"Learn Database Optimization through a real world projects focused course, covering key concepts in Databases.",6187,2999,English,"job-ready, in-demand",[]
52,"Model Evaluation - Introduction (Live Cohort, edX)",Machine Learning,model evaluation introduction machine learning,Beginner,15,4.8,Dr. L. Fernandes,"Learn Model Evaluation through a introduction focused course, covering key concepts in Machine Learning.",29013,999,French,"hands-on, project-based, job-ready, industry-recognized",[]
53,"CNN - Hands-on Project (Crash Course, Pluralsight)",Deep Learning,cnn hands on project deep learning,Intermediate,6,4.0,Dr. L. Fernandes,"Learn CNN through a hands-on project focused course, covering key concepts in Deep Learning.",24108,499,Spanish,"in-demand, industry-recognized, beginner-friendly","[1690, 1991]"
54,"Kotlin - Design Patterns (Self-Paced, edX)",Programming,kotlin design patterns programming,Beginner,25,3.7,Ms. K. Verma,"Learn Kotlin through a design patterns focused course, covering key concepts in Programming.",14931,499,English,"mentor-support, project-based, certificate, job-ready",[]
55,"Go - Testing and Debugging (Live Cohort, DataCamp)",Programming,go testing and debugging programming,Beginner,10,3.8,Dr. N. Rao,"Learn Go through a testing and debugging focused course, covering key concepts in Programming.",21686,3999,French,"trending, project-based, beginner-friendly, job-ready",[]
56,"Reinforcement Learning - Case Studies (Crash Course, Coursera)",Deep Learning,reinforcement learning case studies deep learning,Intermediate,12,4.5,Prof. J. Mehta,"Learn Reinforcement Learning through a case studies focused course, covering key concepts in Deep Learning.",48411,0,Spanish,"hands-on, industry-recognized, beginner-friendly, in-demand",[890]
57,"Kubernetes - Advanced Configuration (Crash Course, Udemy)",Cloud & DevOps,kubernetes advanced configuration cloud & devops,Advanced,2,4.8,Mr. S. Gupta,"Learn Kubernetes through a advanced configuration focused course, covering key concepts in Cloud & DevOps.",10759,2999,English + Hindi Subtitles,"in-demand, job-ready",[823]
58,"GANs - Foundations (Live Cohort, DataCamp)",Deep Learning,gans foundations deep learning,Intermediate,12,3.8,Prof. J. Mehta,"Learn GANs through a foundations focused course, covering key concepts in Deep Learning.",26735,3999,Hindi,"in-demand, project-based, job-ready",[2059]
59,"Redis - Intermediate Queries (Self-Paced, edX)",Databases,redis intermediate queries databases,Beginner,10,4.5,Dr. L. Fernandes,"Learn Redis through a intermediate queries focused course, covering key concepts in Databases.",22258,2499,Hindi,"quiz-included, job-ready, trending",[]
60,"Computer Vision - Hands-on Project (Project-Based, Udemy)",AI Specialized,computer vision hands on project ai specialized,Advanced,4,4.5,Prof. M. Khan,"Learn Computer Vision through a hands-on project focused course, covering key concepts in AI Specialized.",34167,1999,English,"mentor-support, hands-on, beginner-friendly",[756]
61,"Big Data Processing - Fundamentals (Self-Paced, LinkedIn Learning)",Data Science,big data processing fundamentals data science,Beginner,4,3.8,Mr. T. Singh,"Learn Big Data Processing through a fundamentals focused course, covering key concepts in Data Science.",7433,499,French,"project-based, beginner-friendly, quiz-included, trending",[]
62,"Classification - Practical Implementation (Project-Based, Udemy)",Machine Learning,classification practical implementation machine learning,Intermediate,15,4.3,Prof. R. Iyer,"Learn Classification through a practical implementation focused course, covering key concepts in Machine Learning.",33227,999,Spanish,"industry-recognized, beginner-friendly, in-demand, mentor-support","[625, 1668]"
63,"Docker - Best Practices (Project-Based, edX)",Cloud & DevOps,docker best practices cloud & devops,Beginner,8,4.6,Prof. M. Khan,"Learn Docker through a best practices focused course, covering key concepts in Cloud & DevOps.",34594,999,French,"trending, hands-on, quiz-included, project-based",[]
64,"Big Data Processing - Practical Applications (Self-Paced, DataCamp)",Data Science,big data processing practical applications data science,Beginner,25,3.8,Ms. K. Verma,"Learn Big Data Processing through a practical applications focused course, covering key concepts in Data Science.",6712,999,French,"beginner-friendly, trending",[]
65,"A/B Testing - Best Practices (Crash Course, LinkedIn Learning)",Data Science,a/b testing best practices data science,Advanced,15,4.8,Dr. N. Rao,"Learn A/B Testing through a best practices focused course, covering key concepts in Data Science.",3355,2999,English + Hindi Subtitles,"trending, mentor-support, job-ready",[1059]
66,"Rust - Data Structures (Project-Based, DataCamp)",Programming,rust data structures programming,Intermediate,12,3.7,Dr. N. Rao,"Learn Rust through a data structures focused course, covering key concepts in Programming.",173,499,English + Hindi Subtitles,"trending, project-based, industry-recognized, quiz-included","[2, 792]"
67,"Robotics - Fundamentals (Crash Course, Pluralsight)",AI Specialized,robotics fundamentals ai specialized,Beginner,30,4.4,Prof. R. Iyer,"Learn Robotics through a fundamentals focused course, covering key concepts in AI Specialized.",4031,2999,Hindi,"job-ready, beginner-friendly",[]
68,"Data Wrangling - Fundamentals (Crash Course, edX)",Data Science,data wrangling fundamentals data science,Beginner,8,4.1,Ms. K. Verma,"Learn Data Wrangling through a fundamentals focused course, covering key concepts in Data Science.",42491,2999,Spanish,"industry-recognized, in-demand, quiz-included, hands-on",[]
69,"A/B Testing - Best Practices (Self-Paced, LinkedIn Learning)",Data Science,a/b testing best practices data science,Beginner,10,3.7,Ms. P. Nair,"Learn A/B Testing through a best practices focused course, covering key concepts in Data Science.",8241,999,Hindi,"beginner-friendly, project-based, quiz-included",[]
70,"Data Ethics and Privacy - Best Practices (Project-Based, DataCamp)",Career Skills,data ethics and privacy best practices career skills,Beginner,4,4.3,Dr. L. Fernandes,"Learn Data Ethics and Privacy through a best practices focused course, covering key concepts in Career Skills.",6874,3999,Hindi,"job-ready, project-based, certificate, trending",[]
71,"GANs - Case Studies (Live Cohort, edX)",Deep Learning,gans case studies deep learning,Advanced,30,4.2,Prof. R. Iyer,"Learn GANs through a case studies focused course, covering key concepts in Deep Learning.",49580,2499,English + Hindi Subtitles,"mentor-support, project-based",[639]
72,"Time Series Analysis - Fundamentals (Self-Paced, edX)",Statistics & Math,time series analysis fundamentals statistics & math,Beginner,4,4.4,Ms. P. Nair,"Learn Time Series Analysis through a fundamentals focused course, covering key concepts in Statistics & Math.",38487,999,Spanish,"industry-recognized, trending, certificate",[]
73,"Interactive Charts - Best Practices (Crash Course, Udemy)",Data Visualization,interactive charts best practices data visualization,Beginner,30,4.9,Prof. M. Khan,"Learn Interactive Charts through a best practices focused course, covering key concepts in Data Visualization.",15963,3999,Spanish,"hands-on, certificate, project-based",[]
74,"Python - Algorithms (Project-Based, Udemy)",Programming,python algorithms programming,Advanced,10,4.9,Dr. L. Fernandes,"Learn Python through a algorithms focused course, covering key concepts in Programming.",21700,2999,English + Hindi Subtitles,"certificate, hands-on, in-demand",[1462]
75,"Graph Databases - Performance Tuning (Live Cohort, Pluralsight)",Databases,graph databases performance tuning databases,Advanced,20,3.9,Mr. T. Singh,"Learn Graph Databases through a performance tuning focused course, covering key concepts in Databases.",14658,2999,English + Hindi Subtitles,"job-ready, trending",[984]
76,"Freelancing - Best Practices (Project-Based, edX)",Career Skills,freelancing best practices career skills,Advanced,30,4.1,Dr. L. Fernandes,"Learn Freelancing through a best practices focused course, covering key concepts in Career Skills.",43899,2999,English,"certificate, in-demand, trending, hands-on","[943, 1157]"
77,"Resume Building - Practical Guide (Crash Course, Pluralsight)",Career Skills,resume building practical guide career skills,Beginner,12,4.4,Prof. J. Mehta,"Learn Resume Building through a practical guide focused course, covering key concepts in Career Skills.",27795,2999,English,"job-ready, in-demand, hands-on",[]
78,"Infrastructure as Code - Advanced Configuration (Self-Paced, Coursera)",Cloud & DevOps,infrastructure as code advanced configuration cloud & devops,Advanced,15,4.5,Dr. A. Sharma,"Learn Infrastructure as Code through a advanced configuration focused course, covering key concepts in Cloud & DevOps.",14308,999,English,"quiz-included, certificate, project-based, industry-recognized",[46]
79,"Python - Algorithms (Project-Based, Pluralsight)",Programming,python algorithms programming,Beginner,20,4.8,Dr. N. Rao,"Learn Python through a algorithms focused course, covering key concepts in Programming.",23650,2499,English + Hindi Subtitles,"project-based, job-ready",[]
80,"Statistical Analysis - Industry Applications (Self-Paced, LinkedIn Learning)",Data Science,statistical analysis industry applications data science,Beginner,12,4.2,Dr. N. Rao,"Learn Statistical Analysis through a industry applications focused course, covering key concepts in Data Science.",10674,1499,French,"quiz-included, mentor-support, in-demand, trending",[]
81,"Discrete Mathematics - Intermediate Concepts (Crash Course, Coursera)",Statistics & Math,discrete mathematics intermediate concepts statistics & math,Beginner,20,4.8,Prof. M. Khan,"Learn Discrete Mathematics through a intermediate concepts focused course, covering key concepts in Statistics & Math.",23205,4999,Hindi,"project-based, certificate, trending",[]
82,"Data Storytelling - Real World Projects (Project-Based, Pluralsight)",Data Visualization,data storytelling real world projects data visualization,Advanced,15,4.0,Mr. T. Singh,"Learn Data Storytelling through a real world projects focused course, covering key concepts in Data Visualization.",42058,999,Spanish,"project-based, job-ready","[757, 1631]"
83,"CI CD - Hands-on Practice (Crash Course, DataCamp)",Cloud & DevOps,ci cd hands on practice cloud & devops,Intermediate,12,4.7,Prof. M. Khan,"Learn CI CD through a hands-on practice focused course, covering key concepts in Cloud & DevOps.",49614,999,Hindi,"hands-on, certificate, industry-recognized","[585, 1470]"
84,"Pandas - Fundamentals (Self-Paced, Udemy)",Data Science,pandas fundamentals data science,Beginner,30,4.0,Dr. L. Fernandes,"Learn Pandas through a fundamentals focused course, covering key concepts in Data Science.",46040,4999,English + Hindi Subtitles,"trending, beginner-friendly, mentor-support, project-based",[]
85,"PostgreSQL - Performance Tuning (Live Cohort, edX)",Databases,postgresql performance tuning databases,Advanced,4,3.8,Prof. R. Iyer,"Learn PostgreSQL through a performance tuning focused course, covering key concepts in Databases.",46789,2999,English + Hindi Subtitles,"quiz-included, trending",[984]
86,"Go - Design Patterns (Self-Paced, DataCamp)",Programming,go design patterns programming,Intermediate,15,3.7,Ms. P. Nair,"Learn Go through a design patterns focused course, covering key concepts in Programming.",6941,1999,French,"certificate, quiz-included, industry-recognized, job-ready",[1818]
87,"Probability - Advanced Theory (Crash Course, edX)",Statistics & Math,probability advanced theory statistics & math,Advanced,8,4.3,Dr. N. Rao,"Learn Probability through a advanced theory focused course, covering key concepts in Statistics & Math.",1877,3999,Hindi,"industry-recognized, in-demand, trending, job-ready","[956, 1843]"
88,"PHP - Functional Programming (Self-Paced, LinkedIn Learning)",Programming,php functional programming programming,Advanced,8,3.7,Dr. N. Rao,"Learn PHP through a functional programming focused course, covering key concepts in Programming.",16119,0,French,"job-ready, mentor-support, industry-recognized","[684, 1476]"
89,"React - Best Practices (Self-Paced, Pluralsight)",Web Development,react best practices web development,Intermediate,6,4.8,Prof. J. Mehta,"Learn React through a best practices focused course, covering key concepts in Web Development.",26339,2999,English + Hindi Subtitles,"quiz-included, project-based, mentor-support, beginner-friendly",[1152]
90,"MongoDB - Performance Tuning (Crash Course, Udemy)",Databases,mongodb performance tuning databases,Intermediate,8,4.0,Prof. M. Khan,"Learn MongoDB through a performance tuning focused course, covering key concepts in Databases.",5198,999,English + Hindi Subtitles,"industry-recognized, trending, beginner-friendly, hands-on",[1918]
91,"Generative AI - Advanced Applications (Crash Course, edX)",AI Specialized,generative ai advanced applications ai specialized,Advanced,20,4.3,Prof. R. Iyer,"Learn Generative AI through a advanced applications focused course, covering key concepts in AI Specialized.",39739,1499,English + Hindi Subtitles,"trending, industry-recognized, job-ready, beginner-friendly",[169]
92,"Flask - Best Practices (Project-Based, Coursera)",Web Development,flask best practices web development,Advanced,2,4.2,Mr. T. Singh,"Learn Flask through a best practices focused course, covering key concepts in Web Development.",32730,2999,English,"hands-on, trending","[112, 906]"
93,"Node.js - Full Stack Development (Project-Based, Pluralsight)",Web Development,node.js full stack development web development,Intermediate,25,4.5,Prof. M. Khan,"Learn Node.js through a full stack development focused course, covering key concepts in Web Development.",31386,999,English,"quiz-included, certificate, project-based, job-ready",[407]
94,"Autoencoders - Research Perspectives (Live Cohort, DataCamp)",Deep Learning,autoencoders research perspectives deep learning,Advanced,2,4.6,Mr. T. Singh,"Learn Autoencoders through a research perspectives focused course, covering key concepts in Deep Learning.",28384,999,Spanish,"job-ready, project-based",[1338]
95,"Ruby - Design Patterns (Project-Based, LinkedIn Learning)",Programming,ruby design patterns programming,Advanced,10,4.0,Prof. J. Mehta,"Learn Ruby through a design patterns focused course, covering key concepts in Programming.",33439,2999,Hindi,"in-demand, quiz-included, hands-on, project-based","[708, 1498]"
96,"Infrastructure as Code - Advanced Configuration (Crash Course, Coursera)",Cloud & DevOps,infrastructure as code advanced configuration cloud & devops,Advanced,12,4.4,Prof. R. Iyer,"Learn Infrastructure as Code through a advanced configuration focused course, covering key concepts in Cloud & DevOps.",40379,499,French,"beginner-friendly, industry-recognized, trending","[486, 1938]"
97,"Java - Functional Programming (Self-Paced, DataCamp)",Programming,java functional programming programming,Advanced,6,4.8,Dr. A. Sharma,"Learn Java through a functional programming focused course, covering key concepts in Programming.",42709,3999,English,"certificate, in-demand, mentor-support",[564]
98,"Java - Object Oriented Programming (Live Cohort, edX)",Programming,java object oriented programming programming,Advanced,15,4.7,Ms. P. Nair,"Learn Java through a object oriented programming focused course, covering key concepts in Programming.",45790,3999,Hindi,"beginner-friendly, certificate, project-based",[1752]
99,"Database Optimization - Real World Projects (Self-Paced, edX)",Databases,database optimization real world projects databases,Intermediate,6,4.6,Dr. N. Rao,"Learn Database Optimization through a real world projects focused course, covering key concepts in Databases.",32897,499,Hindi,"mentor-support, industry-recognized, trending",[733]
100,"Transformers - Foundations (Self-Paced, DataCamp)",Deep Learning,transformers foundations deep learning,Intermediate,4,4.0,Prof. R. Iyer,"Learn Transformers through a foundations focused course, covering key concepts in Deep Learning.",34482,1999,English,"hands-on, trending, in-demand, quiz-included","[1248, 1803]"
101,"RNN - Fundamentals (Project-Based, Coursera)",Deep Learning,rnn fundamentals deep learning,Beginner,12,3.6,Dr. A. Sharma,"Learn RNN through a fundamentals focused course, covering key concepts in Deep Learning.",34826,0,English,"mentor-support, project-based, hands-on",[]
102,"React - Fundamentals (Project-Based, Coursera)",Web Development,react fundamentals web development,Beginner,30,4.3,Prof. R. Iyer,"Learn React through a fundamentals focused course, covering key concepts in Web Development.",11447,1499,French,"beginner-friendly, trending, industry-recognized",[]
